2034-07-01	二零三四 甲寅[虎]年	五月大	十六	周六	甲寅 庚午 戊午 丁巳	虎	巨蟹座	无	小暑 (7, 7)	无	天地元气造化万物之辰	中国共产党诞生日,香港回归纪念日	诸事不宜	诸事不宜
2034-07-17	二零三四 甲寅[虎]年	六月小	初二	周一	甲寅 辛未 甲戌 己巳	虎	巨蟹座	无	大暑 (7, 23)	无	无	无	祭祀、雪冤、覃恩、入宅、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、立券交易、裁制、缮城郭、整手足甲、招贤、布政事、举正直、选将、塞穴、纳畜、取鱼、上册、颁诏、修饰垣墙、出师、祈福、安抚边境、开张、酝酿、庆赐、开仓、鼓铸、整容、补垣、解除、修宫室、施恩、纳采、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣
2034-07-18	二零三四 甲寅[虎]年	六月小	初三	周二	甲寅 辛未 乙亥 辛巳	虎	巨蟹座	无	大暑 (7, 23)	无	无	无	宴会、沐浴、修造、冠带、进人口、竖柱上梁、经络、安碓硙、雪冤、裁制、缮城郭、纳畜、酝酿、庆赐、纳采、临政、恤孤茕、修宫室	嫁娶、求医疗病、上表章、开市、修置产室、栽种、破土、安葬、启攒、选将、出师、解除、乘船渡水、安抚边境、取鱼、开仓、上册
2034-07-19	二零三四 甲寅[虎]年	六月小	初四	周三	甲寅 辛未 丙子 癸巳	虎	巨蟹座	无	大暑 (7, 23)	无	无	无	沐浴、剃头、捕捉、整手足甲、整容	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、立券交易、乘船渡水、缮城郭、远回、招贤、选将、举正直、塞穴、纳畜、取鱼、上册、出师、祈福、安抚边境、酝酿、庆赐、开仓、鼓铸、补垣、解除、纳采、施恩、修仓库、临政、搬移、营建、筑堤防、求嗣、修宫室
2034-07-20	二零三四 甲寅[虎]年	六月小	初五	周四	甲寅 辛未 丁丑 乙巳	虎	巨蟹座	无	大暑 (7, 23)	无	无	无	诸事不宜	诸事不宜
2034-07-21	二零三四 甲寅[虎]年	六月小	初六	周五	甲寅 辛未 戊寅 丁巳	虎	巨蟹座	无	大暑 (7, 23)	无	无	无	出行、结婚姻、宴会、安床、上官、竖柱上梁、经络、开市、纳财、牧养、立券交易、裁制、举正直、纳畜、酝酿、庆赐、开仓、施恩、纳采、临政、搬移	祭祀、嫁娶、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、安葬、补垣、修饰垣墙、出师、整手足甲、修仓库、筑堤防、营建
2034-07-22	二零三四 甲寅[虎]年	六月小	初七	周六	甲寅 辛未 己卯 己巳	虎	巨蟹座	无	大暑 (7, 23)	无	无	无	祭祀、出行、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、立券交易、雪冤、赴任、裁制、覃恩、招贤、举正直、上册、颁诏、入宅、祈福、酝酿、庆赐、开仓、解除、纳采、施恩、临政、恤孤茕、宣政事、求嗣	修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、修饰垣墙、苫盖、取鱼
2034-07-23	二零三四 甲寅[虎]年	六月小	初八	周日	甲寅 辛未 庚辰 辛巳	虎	狮子座	大暑	立秋 (8, 7)	无	无	无	祭祀、进人口、纳财、捕捉、牧养、雪冤、覃恩、纳畜、恤孤茕	嫁娶、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、招贤、选将、上册、颁诏、修饰垣墙、出师、安抚边境、鼓铸、补垣、修仓库、筑堤防、营建、宣政事
2034-07-24	二零三四 甲寅[虎]年	六月小	初九	周一	甲寅 辛未 辛巳 癸巳	虎	狮子座	无	立秋 (8, 7)	无	无	无	入学、雪冤、覃恩、恤孤茕	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、立券交易、裁制、缮城郭、远回、招贤、布政事、举正直、选将、塞穴、纳畜、取鱼、上册、颁诏、修饰垣墙、出师、祈福、酝酿、庆赐、整容、鼓铸、开仓、补垣、解除、修宫室、施恩、纳采、整手足甲、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
2034-07-25	二零三四 甲寅[虎]年	六月小	初十	周二	甲寅 辛未 壬午 乙巳	虎	狮子座	无	立秋 (8, 7)	无	无	无	经络、安葬、雪冤、赴任、诉讼、覃恩、塞穴、酝酿、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、牧养、破土、立券交易、疗目、针刺、缮城郭、苫盖、招贤、布政事、举正直、选将、纳畜、取鱼、上册、颁诏、出师、祈福、修饰垣墙、庆赐、开仓、补垣、解除、修宫室、施恩、纳采、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
2034-07-26	二零三四 甲寅[虎]年	六月小	十一	周三	甲寅 辛未 癸未 丁巳	虎	狮子座	无	立秋 (8, 7)	无	无	无	出行、宴会、嫁娶、上官、进人口、经络、纳财、立券交易、雪冤、裁制、覃恩、招贤、布政事、举正直、纳畜、酝酿、庆赐、施恩、临政、恤孤茕	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、上册、修饰垣墙、开仓、整容、补垣、解除、整手足甲、筑堤防、营建、求嗣
2034-07-27	二零三四 甲寅[虎]年	六月小	十二	周四	甲寅 辛未 甲申 己巳	虎	狮子座	无	立秋 (8, 7)	无	无	无	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、雪冤、裁制、覃恩、缮城郭、招贤、举正直、选将、纳畜、上册、颁诏、入宅、出师、祈福、庆赐、整容、解除、纳采、整手足甲、施恩、修仓库、临政、搬移、营建、恤孤茕、宣政事、求嗣、安抚边境	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、立券交易、乘船渡水、布政事、塞穴、取鱼、修饰垣墙、酝酿、开仓、鼓铸、补垣、修宫室、筑堤防
2034-07-28	二零三四 甲寅[虎]年	六月小	十三	周五	甲寅 辛未 乙酉 辛巳	虎	狮子座	无	立秋 (8, 7)	无	无	无	沐浴、扫舍宇	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、立券交易、针刺、裁制、缮城郭、招贤、布政事、举正直、选将、塞穴、纳畜、上册、颁诏、修饰垣墙、出师、祈福、入宅、酝酿、庆赐、整容、鼓铸、开仓、补垣、解除、修宫室、纳采、施恩、整手足甲、修仓库、临政、搬移、营建、筑堤防、宣政事、求嗣、安抚边境
2034-07-29	二零三四 甲寅[虎]年	六月小	十四	周六	甲寅 辛未 丙戌 癸巳	虎	狮子座	无	立秋 (8, 7)	无	无	无	诸事不宜	诸事不宜
2034-07-30	二零三四 甲寅[虎]年	六月小	十五	周日	甲寅 辛未 丁亥 乙巳	虎	狮子座	无	立秋 (8, 7)	无	无	无	宴会、沐浴、冠带、竖柱上梁、经络、雪冤、裁制、纳畜、酝酿、庆赐、临政、恤孤茕	嫁娶、剃头、求医疗病、上表章、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、破土、安葬、启攒、乘船渡水、选将、取鱼、上册、修饰垣墙、出师、安抚边境、整容、开仓、补垣、解除、整手足甲、筑堤防、营建
2034-07-31	二零三四 甲寅[虎]年	六月小	十六	周一	甲寅 辛未 戊子 丁巳	虎	狮子座	无	立秋 (8, 7)	无	无	无	祭祀、沐浴、剃头、捕捉、裁制、整容、整手足甲	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、立券交易、乘船渡水、缮城郭、远回、招贤、选将、举正直、塞穴、纳畜、取鱼、上册、修饰垣墙、出师、祈福、酝酿、庆赐、开仓、鼓铸、补垣、解除、纳采、施恩、修宫室、修仓库、临政、搬移、营建、筑堤防、求嗣、安抚边境
